;Company;Symbol
200;PIAGGIO & C SPA EUR0.52;0FM1.L
201;PICANOL NPV;0FM2.L
202;POLSKI KONCERN NAFTOWY ORLEN SA PLN1.25;0FMN.L
203;POWSZECHNA KASA OSZCZED BK POLSKI PLN1;0FMO.L
204;PININFARINA SPA EUR1;0FNI.L
205;PONSSE NPV;0FNZ.L
206;PRECIA NPV;0FOS.L
207;PARIS ORLEANS EUR2;0FPB.L
208;PROLOGUE SA EUR1;0FPJ.L
209;PORTUGAL TELECOM SGPS SA EUR0.35(REGD);0FQ8.L
210;PUBLICIS GROUPE SA EUR0.40;0FQI.L
211;PFEIFFER VACUUM TECHNOLOGY ORD NPV;0FQR.L
212;EUROPA & C PAPELES Y CART DE EUROPA EUR2;0FR0.L
213;RATIONAL AG NPV;0FRJ.L
214;ROSENBAUER INTERNATIONAL AG NPV;0FRW.L
215;RENEWABLE ENERGY CORP AS NOK1;0FS8.L
216;RESILUX NPV;0FSN.L
217;RETAIL ESTATES NPV;0FSO.L
218;RIBER EUR0.16;0FT3.L
219;ROOD TESTHOUSE ORD EUR0.11;0FTZ.L
220;RWE AG(NEU) NON VTG PRF NPV;0FUZ.L
221;METALEUROP SA EUR3.81;0FV0.L
222;SALMAR ASA NOK0.25;0FWY.L
223;SIAS EUR0.50;0G0W.L
224;SILICON SENSOR INTERNATIONAL AG NPV;0G0X.L
225;KOENIG & BAUER AG NPV;0G15.L
226;SOLUCOM SA NPV;0G1T.L
227;SEMPERIT HLDGS AG NPV;0G29.L
228;SOFINA NPV;0G2X.L
229;SOLSTAD NOK2;0G2Z.L
230;SOLAR A/S `B`DKK100;0G33.L
231;MOURY CONSTRUCT NPV;0G34.L
232;SPOBAG NPV;0G3L.L
233;SO PA F SPA EUR0.50;0G3T.L
234;SP GROUP AS DKK100;0G3U.L
235;STO AG NON VTG PRF NPV;0G5B.L
236;SPAREBANKEN VEST NOK100 GRUNNFONDSBEVIS;0G67.L
237;KENDRION N.V. EUR2;0G68.L
238;SEKTKELLEREI SCHLOSS WACHENHEIM AG NPV;0G6J.L
239;SYMRISE AG NPV;0G6T.L
240;SYSTEMAT NPV;0G6W.L
241;SOFTING AG NPV;0G73.L
242;SALZGITTER AG ORD NPV;0G77.L
243;STOLBERGER TELECOM AG ORD NPV;0G79.L
244;SUDZUCKER AG NPV;0G7B.L
245;TELENOR ASA ORD NOK6;0G8C.L
246;TOMORROW FOCUS AG NPV;0G8Z.L
247;TREVI FINANZIARIA INDUSTRIALE EUR0.50;0G91.L
248;THROMBOGENICS NPV;0G99.L
249;TAMBURI INVESTMENT PARTNERS EUR0.52;0G9J.L
250;GESTEVISION TELECINCO SA ORD EUR0.5;0G9W.L
251;TELECOM ITALIA SPA(NEW) DI RISP EUR0.55;0GA3.L
252;TELENET NPV;0GAF.L
253;TOTENS SPAREBANK NOK100(GRUNNFONDSBEVIS);0GAW.L
254;TECHNOPOLIS OYJ NPV;0GB6.L
255;TELEKOMUNIKACJA POLSKA PLN3;0GB7.L
256;TAKKT AG NPV;0GC8.L
257;TURKISTUOTTAJAT OY EUR2 SER`C`;0GCM.L
258;UBM REALITAETENENTWICKLUNG NPV;0GD5.L
259;ULRIC DE VARENS NPV;0GDH.L
260;UNIQA VERSICHERUNG AG NPV;0GDR.L
261;UNIPETROL CZK100;0GDU.L
262;UNITED INTERNET AG NPV;0GE4.L
263;VISCOM AG NPV;0GED.L
264;VAISALA NPV`A`;0GEG.L
265;VEIDEKKE NOK0.5;0GF6.L
266;VIPA HOLDING NPV;0GFN.L
