;Company;Symbol;ISIN;WKN
159;BERTRANDT AG O.N.;BDT;DE0005232805;523280
160;UMT UTD MOB.TECHN.AG;UMD;DE0005286108;528610
161;HOMAG GROUP AG;HG1;DE0005297204;529720
162;ENERGIEKONTOR O.N.;EKT;DE0005313506;531350
163;CARL ZEISS MEDITEC AG;AFX;DE0005313704;531370
164;NANOFOCUS O.N.;N2F;DE0005400667;540066
165;CEWE STIFT.KGAA  O.N.;CWC;DE0005403901;540390
166;CENIT AG O.N.;CSH;DE0005407100;540710
167;CENTROTEC SUSTAINABLE O.N;CEV;DE0005407506;540750
168;AAREAL BANK AG;ARL;DE0005408116;540811
169;OEKOWORLD AG VZNA O.N.;VVV3;DE0005408686;540868
170;LEONI AG NA O.N.;LEO;DE0005408884;540888
171;CANCOM SE O.N.;COK;DE0005419105;541910
172;COMDIRECT BANK AG;COM;DE0005428007;542800
173;COMPUGROUP MED.SE O.N.;COP;DE0005437305;543730
174;CONTINENTAL AG O.N.;CON;DE0005439004;543900
175;CTS EVENTIM KGAA;EVD;DE0005470306;547030
176;LANXESS AG;LXS;DE0005470405;547040
177;VARENGOLD BANK AG;VG8;DE0005479307;547930
178;ISRA VISION O.N.;ISR;DE0005488100;548810
179;UNITED LABELS O.N.;ULC;DE0005489561;548956
180;MASTERFLEX O.N.;MZX;DE0005492938;549293
181;BORUSSIA DORTMUND;BVB;DE0005493092;549309
182;HYPOPORT AG  NA O.N.;HYQ;DE0005493365;549336
183;EQS GROUP AG NA O.N.;EQS;DE0005494165;549416
184;CURASAN AG;CUR;DE0005494538;549453
185;HOLIDAYCHECK GRP AG;HOC;DE0005495329;549532
186;GERATHERM O.N.;GME;DE0005495626;549562
187;DATA MODUL AG O.N.;DAM;DE0005498901;549890
188;A.SPRINGER SE VNA;SPR;DE0005501357;550135
189;DT.GRUNDST.AUKT.AG;DGR;DE0005533400;553340
190;DISKUS WERKE AG;DIS;DE0005538607;553860
191;1+1 DRILLISCH AG O.N.;DRI;DE0005545503;554550
192;DRAEGERWERK ST.A.O.N.;DRW8;DE0005550602;555060
193;DRAEGERWERK VZO O.N.;DRW3;DE0005550636;555063
194;DEUTSCHE POST AG NA O.N.;DPW;DE0005552004;555200
195;DT.TELEKOM AG NA;DTE;DE0005557508;555750
196;PARAGON AG;PGN;DE0005558696;555869
197;DUERR AG O.N.;DUE;DE0005565204;556520
198;UMWELTBANK AG O.N.;UBK;DE0005570808;557080
199;DIERIG HOLDING AG O.N.;DIE;DE0005580005;558000
200;EASY SOFTWARE AG;ESY;DE0005634000;563400
201;EDEL AG O.N.;EDL;DE0005649503;564950
202;EINHELL GERMANY VZO O.N.;EIN3;DE0005654933;565493
203;ECKERT+ZIEGLER AG O.N.;EUZ;DE0005659700;565970
204;EVOTEC AG O.N.;EVT;DE0005664809;566480
205;ELMOS SEMICONDUCTOR AG;ELG;DE0005677108;567710
206;SMT SCHARF AG;S4A;DE0005751986;575198
207;LS TELCOM AG;LSX;DE0005754402;575440
208;INIT INNOVATION O.N.;IXX;DE0005759807;575980
209;FIELMANN AG O.N.;FIE;DE0005772206;577220
210;FRAPORT AG FFM.AIRPORT;FRA;DE0005773303;577330
211;FORTEC ELEKTRO. O.N.;FEV;DE0005774103;577410
212;FORIS AG;FRS;DE0005775803;577580
213;FRESENIUS SE+CO.KGAA O.N.;FRE;DE0005785604;578560
214;FRESEN.MED.CARE KGAA O.N.;FME;DE0005785802;578580
215;FUCHS PETROLUB SE O.N.;FPE;DE0005790406;579040
216;FUCHS PETROL.SE VZO O.N.;FPE3;DE0005790430;579043
217;GFT TECHNOLOGIES SE;GFT;DE0005800601;580060
218;DEUTSCHE BOERSE NA O.N.;DB1;DE0005810055;581005
219;ECOTEL COMMUNICATION AG;E4C;DE0005854343;585434
