;Company;Symbol
442;Bankwell Financial;BWFG
443;Baldwin Lyons Cl A;BWINA
444;Baldwin Lyons Cl B;BWINB
445;Bay Bancorp Inc;BYBK
446;Broadway Fin Cp;BYFC
447;Beyondspring Inc Ordinary Shares;BYSI
448;Baozun Inc Ads;BZUN
449;CA Inc;CA
450;China Automotive Sys;CAAS
451;Camden Natl Cp;CAC
452;Credit Acceptance;CACC
453;Legg Clearbridge All Cap Growth ETF;CACG
454;China Advanced Const;CADC
455;8Point3 Energy Cl A;CAFD
456;Cheesecake Fact;CAKE
457;Calithera Biosci Com;CALA
458;Callidus Software;CALD
459;China Auto Logistics;CALI
460;Magicjack Vocaltec L;CALL
461;Cal-Maine Foods In;CALM
462;Calamp Corp;CAMP
463;Camtek Ltd;CAMT
464;Capricor Therap;CAPR
465;Avis Budget Group I;CAR
466;Cara Therapeutics;CARA
467;Carbonite Inc;CARB
468;Cargurus Inc Class A;CARG
469;Carolina Financial Corp;CARO
470;Carolina Trust Bank;CART
471;Carver Bancorp;CARV
472;Nasdaq Global Auto Index Fund FT;CARZ
473;Casa Systems Inc;CASA
474;Cascadian Therapeutics Inc;CASC
475;Meta Financial Grp;CASH
476;Casi Phrmactcls Inc;CASI
477;Cas Medical Sys Inc;CASM
478;Cass Information Sys;CASS
479;Casey's General Stor;CASY
480;Catabasis Pharma;CATB
481;Cambridge Bancorp;CATC
482;G-X S&P 500 Catholic Values ETF;CATH
483;Cardtronics Inc;CATM
484;Catasys Inc;CATS
485;Cathay Genl Bncp;CATY
486;Cavium Inc;CAVM
487;China Bak Battery;CBAK
488;Colony Bankcorp Inc;CBAN
489;Cymabay Therapeutics;CBAY
490;Cb Financial Svc;CBFV
491;Catalyst Bio;CBIO
492;Cleveland Biolabs;CBLI
493;Cellular Biomedicine;CBMG
494;CBOE Global Markets Inc;CBOE
495;China Biologic Produ;CBPO
496;Cracker Barrel;CBRL
497;Commerce Bancshares;CBSH
498;Commerce BNC B Dep;CBSHP
499;Cbtx Inc;CBTX
500;Capital City Bank Gr;CCBG
501;China Ceramics Co;CCCL
502;China Commercial Cre;CCCR
503;Calams Dy Cnv In;CCD
504;Chinacache Hldgs ADR;CCIH
505;CSI Compressco;CCLP
506;Cabot Microelectron;CCMP
507;Cnb Financial Corp;CCNE
508;Cogent Comm Hldgs;CCOI
509;China Customer Ord;CCRC
510;Cross Ctry Hlthcr;CCRN
511;Concurrent Computer;CCUR
512;Chemocentryx Inc;CCXI
513;Victory US Eqty Income Ehnd Vol Wtd ETF;CDC
514;Centennial Resource Development Inc;CDEV
515;Cdk Global Inc;CDK
516;Victory US Largecap Hi Div Vol Wtd ETF;CDL
517;Cardlytics Inc.;CDLX
518;Avid Bioservices Inc.;CDMO
519;Avid Bioservices Inc.;CDMOP
520;Caredx Inc;CDNA
521;Cadence Design Sys;CDNS
522;Clean Diesel Technol;CDTI
523;Cidara Thera;CDTX
524;CDW Corp;CDW
525;Chromadex Corp CS;CDXC
526;Codexis Inc;CDXS
527;Cadiz Inc;CDZI
528;C E C O Envir;CECE
529;Career Education;CECO
530;Celcuity Inc;CELC
531;Celgene Corp;CELG
532;Celgene Cp Cvr;CELGZ
533;Celsius Holdings Inc;CELH
534;Chembio Diagnostics;CEMI
535;Central Garden;CENT
536;Central Garden & Pet;CENTA
537;Century Aluminum C;CENX
538;Cerecor Inc;CERC
539;Cerecor Inc Cl A WT;CERCW
540;Cerner Corp;CERN
541;Cerus Corp;CERS
542;Central EUR Med A;CETV
543;Cemtrex Inc;CETX
544;Cemtrex Inc Series 1 Pfd.;CETXP
545;Cemtrex Inc Series 1 Warrant;CETXW
546;Ceva Inc;CEVA
547;Victoryshares Emerging Market High Div Vol Wtd E;CEY
548;Victory EM Vol Wtd ETF;CEZ
549;Victory US 500 Vol ETF ETF;CFA
550;Community First Bancshares Inc;CFBI
551;Central Fed Cp;CFBK
552;C&F Financial Corp;CFFI
553;Capitol Fed Finl Inc;CFFN
554;Conformis Inc CS;CFMS
555;Victory US 500 Ehnd Vol Wtd ETF;CFO
556;Contrafect;CFRX
557;The Carlyle Group;CG
558;Tcg Bdc Inc;CGBD
559;Compugen Ltd;CGEN
560;Cancer Genetics Inc;CGIX
561;Cogentix Medical In;CGNT
562;Cognex Cp;CGNX
563;Calamos Glb Ttl Rtn;CGO
564;Comstock Hldgs Cos;CHCI
565;City Holding Co;CHCO
566;Churchill Downs In;CHDN
567;The Chefs Warehouse;CHEF
568;Check-Cap Ltd Ord;CHEK
569;Check-Cap Ltd A WT;CHEKW
570;Chemical Financial;CHFC
571;Charter Finl Corp;CHFN
572;Chf Solutions Inc;CHFS
573;Calamos Cv Opp & Inc;CHI
574;Cherokee Inc;CHKE
575;Check Point Software;CHKP
576;Chiasma Inc;CHMA
577;Chemung Financial Cp;CHMG
578;China Natural Res;CHNR
579;Coherus Bio;CHRS
580;C.H. Robinson Ww;CHRW
581;CHS B Cum Pfd Srs 4;CHSCL
582;CHS Pfd Clb Ser3;CHSCM
583;CHS Inc Pfd B Srs 2;CHSCN
584;CHS Inc Cl B Pfd;CHSCO
585;CHS Inc Cum Pfd;CHSCP
586;Charter Communicatio;CHTR
587;Commercehub Inc;CHUBA
588;Commercehub Inc;CHUBK
589;Chuy's Holdings Inc;CHUY
590;Calamos Gbl Dyn Inc;CHW
591;Calamos Cv & High In;CHY
592;Nasdaq Cybersecurity ETF FT;CIBR
593;Victory Intl Hi Div Vol Wtd ETF;CID
594;Cinedigm Corp;CIDM
595;China Internet Nationwide Financial Services Inc;CIFS
596;Colliers Intl Grp In;CIGI
597;Victory Intl Vol Wtd ETF;CIL
598;Cincinnati Financial;CINF
599;Interm Credit Bd Ishares;CIU
600;Civista Bncshrs;CIVB
601;Civista Bancshrs Dep;CIVBP
602;Victory Dev Enhd Vol Wtd ETF;CIZ
603;Citizens Hldg Co;CIZN
604;China Jojo Drugstore;CJJD
605;Checkpoint Therapeutics Inc;CKPT
606;Clarus Corp;CLAR
607;Caladrius Bio;CLBS
608;Collectors Universe;CLCT
609;China Lending Corp;CLDC
610;Celldex Therapeutics;CLDX
611;Clearfield Inc;CLFD
612;Collplant Holdings Ltd.;CLGN
613;Clearsign Combustion;CLIR
614;Clearsign Combustion Corporation Warrant;CLIRW
615;Cellectis S.A. Ads;CLLS
616;Calumet Specialty Pr;CLMT
617;Clean Energy Fuels;CLNE
618;Cellectar Biosc;CLRB
619;Cellectar Biosc WT;CLRBW
620;Cellectar Bio Sra WT;CLRBZ
621;IQ Chaikin U.S. Large Cap ETF;CLRG
622;Clearone Inc;CLRO
623;Clearside Biomedi;CLSD
624;Celsion Corp;CLSN
625;Town Sports Internat;CLUB
626;Clovis Oncology Inc;CLVS
